Date,Open,High,Low,Close/Price,Volume
6/22/2020,247.47,254.9,247.29,251.27,11093697
6/23/2020,251.26,254.78,247.57,252.81,8791498
6/24/2020,254.5,258.75,248.6,255.9,9862774
6/25/2020,258.23,260.29,252.66,259.51,7490491
6/26/2020,260.52,261.62,250.36,256.8,17142899
6/29/2020,254.97,255.9,243.59,248.56,8436437
6/30/2020,249.87,256.83,248.35,253.54,6305519
7/1/2020,251.35,261,247.21,259.13,6803313
7/2/2020,261,263.8,258,261.74,5629042
7/6/2020,265,275.08,259.32,261,12250167
7/7/2020,261.55,266.45,258.1,262.1,7819728
7/8/2020,263.8,268.53,261.29,266.32,6012921
7/9/2020,269.01,272.7,264.22,269.52,5396039
7/10/2020,271.77,278.16,268.64,275.87,6354790
7/13/2020,278.63,281,256.34,260.3,9293047
7/14/2020,260.96,265.33,240.45,260.01,8713138
7/15/2020,253.7,257.5,248.12,256.22,6073639
7/16/2020,250.39,253,243.43,248.54,5420142
7/17/2020,247.17,250.94,241.29,246.54,4626550
7/20/2020,246.49,271.35,245.99,268.58,9784919
7/21/2020,268.75,269.75,258.2,260.44,4761971
7/22/2020,261.95,265.4,255.81,261.18,4581585
7/23/2020,260.84,264.9,249.21,251.5,4589358
7/24/2020,246.2,250.21,237.2,246.56,4303198
7/27/2020,249.28,252.97,246.22,252.33,3328563
7/28/2020,252.7,258.91,251.32,252.18,3366216
7/29/2020,255.55,259.93,251.15,252.39,3333748
7/30/2020,250.31,256.33,239.32,250,7926051
7/31/2020,253.5,255.2,248.36,253.91,3381064
8/3/2020,256.83,271.1,256.11,268,6787878
8/4/2020,268,269.19,262,267.34,3087253
8/5/2020,266.29,275.09,262.52,272.9,4517659
8/6/2020,273.87,274.48,263.91,268.25,3602884
8/7/2020,266.45,268,252.79,258.73,5024681
8/10/2020,259.14,261.44,244.54,250,5714036
8/11/2020,245.48,245.48,230,231.04,9730520
8/12/2020,232.3,239.4,230.75,236.72,3932256
8/13/2020,238.15,250.1,238.15,247.25,4749728
8/14/2020,249.44,252.43,242.4,244.91,3662809
8/17/2020,248.7,267.94,248.51,266.15,8959207
8/18/2020,271.72,277.78,265.5,276.8,6517049
8/19/2020,274.68,279.59,270.32,273.51,4674004
8/20/2020,274.45,290.88,273.99,290.69,9318392
8/21/2020,291,295.97,286.94,289.68,5250117
8/24/2020,293,293.87,274.11,282.28,6463517
8/25/2020,279,293.72,275.81,290.44,4602867
8/26/2020,293,302,290.85,295.27,5692064
8/27/2020,295.69,301.52,290.33,294.68,5560590
8/28/2020,299.22,303.58,297.26,299.27,5353424
8/31/2020,304.01,325.9,301.27,325.1,23468139
9/1/2020,439.51,478,410.68,457.69,53346788
9/2/2020,445.67,445.67,410,423.56,18866825
9/3/2020,399.55,409.9,367,381.32,20304337
9/4/2020,375.5,386.01,346.76,369.89,13230097
9/8/2020,350.7,365.5,345.68,350.88,7966481
9/9/2020,369.75,394.8,362.12,389.65,17325783
9/10/2020,400,407.82,378.36,384.48,11932129
9/11/2020,389.13,400.75,373.05,383,9297631
9/14/2020,391.74,404.36,386.13,403.51,7963100
9/15/2020,410,413.5,391.05,410.94,8495611
9/16/2020,406.27,419.42,404.22,408.17,6746892
9/17/2020,389,417.82,387,413.13,9260430
9/18/2020,419.8,442,407.5,438.73,22315720
9/21/2020,434,470,434,468.47,16843837
9/22/2020,477,494.9,458.75,492.6,16440579
9/23/2020,489.49,529.74,483.25,500.53,27051300
9/24/2020,487.01,502.25,457.69,464.98,17896568
9/25/2020,474.87,500,474.87,496.5,12906775
9/28/2020,502.41,519.77,479.57,487.66,17621339
9/29/2020,488.13,489.8,463,465.5,15241179
9/30/2020,464.21,481.56,462,470.11,8971123
10/1/2020,477,483.73,465,482.99,7859345
10/2/2020,485.01,507.49,481,482.23,12791720
10/5/2020,493.97,496.9,475.26,485.37,7534656
10/6/2020,480.51,487.9,473.22,478.25,6097682
10/7/2020,482.5,487.5,477.11,480.61,4449496
10/8/2020,484,489.49,475.58,478.55,4193060
10/9/2020,487.99,498.9,484.08,492.41,8719691
10/12/2020,501.43,506.11,490.48,491.54,6979462
10/13/2020,494,520,493,518.79,8941474
10/14/2020,518.78,519.8,498.6,509.25,8327654
10/15/2020,509.08,540.05,506.5,536.4,16520601
10/16/2020,544,565.45,543.25,559,13745750
10/19/2020,572.5,588.84,562.55,568.34,15193234
10/20/2020,572.33,575.69,534.59,537.02,12098179
10/21/2020,535.88,551.66,511.78,513.19,9215428
10/22/2020,521.78,530.43,503.47,520.54,8100869
10/23/2020,522.33,527,505.41,511.52,5377118
10/26/2020,520.49,541.11,510.31,517.79,10080795
10/27/2020,525.22,540,513.3,538.99,7227645
10/28/2020,549.5,553.86,511.5,516.01,8810070
10/29/2020,521.19,525.46,483.5,489.68,9207566
10/30/2020,481.5,495.95,457.02,460.91,8715083
11/2/2020,462.29,477,440,453,8051893
11/3/2020,456.33,461.88,445.01,451.51,6496995
11/4/2020,471.92,484.94,455.4,483.7,8048450
11/5/2020,497.99,499.35,480.76,496.73,6379939
11/6/2020,494.66,505.88,482.73,500.11,4265950
11/9/2020,433,446.47,402,413.24,18033547
11/10/2020,412.5,414.45,366.28,376.01,20751949
11/11/2020,391.65,419.8,385,413.34,16691084
11/12/2020,427.85,435.75,419.61,428.64,14935982
11/13/2020,425.99,428.47,396.87,403.58,11773787
11/16/2020,382.6,400.8,375.1,399.15,12054432
11/17/2020,406.29,411.5,396.32,401.63,6972081
11/18/2020,399,423.5,390.22,415.04,10974220
11/19/2020,408.99,427.89,407.5,414.29,8007026
11/20/2020,418.55,445.3,415.56,439.6,12586597
11/23/2020,432.01,436.51,417.88,430.28,8486030
11/24/2020,421.51,438.83,420.01,427.55,6148416
11/25/2020,435.85,448.48,433.33,443.72,8763739
11/27/2020,453.99,472.04,449,471.61,7276411
11/30/2020,485.7,486.83,460,478.36,16646500
12/1/2020,434.72,434.99,401.72,406.31,20916103
12/2/2020,399,424.55,394.57,412.86,10962837
12/3/2020,413,419.17,405.02,413.54,6306724
12/4/2020,409.26,418.88,408.19,410.01,4447314
12/7/2020,411,416.8,405.45,407.85,4427276
12/8/2020,408.87,419.5,406.75,412,5319440
12/9/2020,406.75,409.99,381.5,385.36,8956659
12/10/2020,382.73,399,380.27,397.96,4572146
12/11/2020,395.35,397.34,384.61,397.01,4677441
12/14/2020,388.95,396.75,376.68,395.99,6820120
12/15/2020,398.51,410.32,395.08,399.43,5144653
12/16/2020,400.49,406.56,393.46,404,4158539
12/17/2020,408.72,409.03,399.56,401.62,3792528
12/18/2020,403.8,408.11,398.25,406.01,6174772
12/21/2020,418.07,427.76,404.58,408.97,8557350
12/22/2020,408.5,413.5,396.5,409,4218767
12/23/2020,402,402.6,378.58,383.88,9554390
12/24/2020,383.88,384.88,375,375.17,3850734
12/28/2020,370.4,373.28,349.02,351.39,9454792
12/29/2020,350.66,359.91,350.13,353.75,6080283
12/30/2020,358.42,358.7,345.4,353.4,5474464
12/31/2020,351.77,351.83,336.1,337.32,6559744
1/4/2021,340.4,363.09,339.2,359.98,8598300
1/5/2021,360.39,365.01,349,360.83,4983521
1/6/2021,351,352.94,341.92,344.41,7124614
1/7/2021,346,354.48,341.6,342.5,5601170
1/8/2021,345.2,350,340.34,349.61,5009213
1/11/2021,344.98,349.96,336.85,337.71,3360357
1/12/2021,333.2,358.9,331.1,356.81,8972461
1/13/2021,360,384.23,348.65,364.63,14056546
1/14/2021,371,384.95,370.5,383.24,9310967
1/15/2021,397.71,404.44,382.07,384.53,12799509
1/19/2021,391.01,396.77,385.51,393.87,5709437
1/20/2021,399.11,399.53,378.32,382.8,5713892
1/21/2021,383.03,387.21,372.03,382.81,5180798
1/22/2021,380.99,385.29,376.38,383.4,2791585
1/25/2021,388.99,398.8,378.27,391.83,5178085
1/26/2021,391.08,395.82,372.2,374.39,5151261
1/27/2021,367.5,384.25,362.77,370.74,4557483
1/28/2021,368,383.31,363.86,378.59,3374206
1/29/2021,379,385.91,358.62,372.07,3958970
2/1/2021,369,382.78,368.13,381.93,3443852
2/2/2021,384.5,394.89,378.68,391.84,3780072
2/3/2021,395.79,395.79,379,380.47,3433077
2/4/2021,383.5,390,376.87,389.98,2528066
2/5/2021,387.86,420,387.86,419.59,9759071
2/8/2021,420.74,422,406.5,410.81,3737875
2/9/2021,411.69,434.67,410.31,430.03,5115390
2/10/2021,431.89,441.22,416.14,431,4738316
2/11/2021,433.99,443.75,429.51,432.77,3502618
2/12/2021,431.52,435,423.13,433.11,2077846
2/16/2021,438.8,451.77,436.7,444.51,4249151
2/17/2021,440.02,441.2,418.25,429.42,4006475
2/18/2021,426.75,428.88,414,417.91,2645328
2/19/2021,419.22,425.99,414.5,417.26,2195043
2/22/2021,408.5,411.72,390.6,394.34,4340255
2/23/2021,371.01,389.99,351.81,388.16,5558188
2/24/2021,383.13,388.68,375.62,385.23,3442360
2/25/2021,383.78,387.66,361.01,364.73,4585104
2/26/2021,367.95,377.09,356.17,373.61,4702413
3/1/2021,388.66,416.2,387.01,409.66,10044698
3/2/2021,439.6,440,371.82,372.79,18156568
3/3/2021,383,383.25,339,341.57,15526026
3/4/2021,347.8,358.3,333,343.09,10328083
3/5/2021,345.39,347.75,314.38,337.43,8255524
3/8/2021,334.99,339.35,309,310.93,6899076
3/9/2021,331.95,343.58,320.8,342.11,5705183
3/10/2021,347.99,355.69,333.01,336.03,4729969
3/11/2021,347.99,357.4,338.8,355.17,3915392
3/12/2021,342.01,350.44,338.43,346.39,2960750
3/15/2021,347.08,351.56,343.5,350,1993509
3/16/2021,351.99,355.49,333.69,335.08,3333166
3/17/2021,328.57,340.54,322.66,336.65,3593229
3/18/2021,330,330.33,316,316.32,5446757
3/19/2021,316.83,327.98,313.63,326.26,4981385
3/22/2021,329.45,333.89,327.01,328.5,2947934
3/23/2021,330,347.4,329.35,339.76,5723818
3/24/2021,338.68,339.99,314.35,314.96,4924523
3/25/2021,310.95,320.63,308.31,314.85,3564820
3/26/2021,312.89,320,306.75,319.95,3219843
3/29/2021,317.07,322.97,305.78,308.39,3041416
3/30/2021,305,314.88,302.32,313.19,2837135
3/31/2021,315.24,325.74,311.13,321.29,2773222
4/1/2021,325.98,338.91,325.5,326.23,2853899
